10.38.0.1	00:1b:17:00:0b:27	Palo Alto Networks
10.38.1.142	98:e0:d9:aa:20:b3	(Unknown)
10.38.2.29	34:02:86:a1:6b:70	(Unknown)
10.38.2.21	98:01:a7:9d:fe:65	(Unknown)
10.38.0.192	b4:18:d1:06:87:80	(Unknown)
10.38.0.92	a4:08:ea:18:e2:78	(Unknown)
10.38.2.40	b0:c0:90:68:41:b9	(Unknown)
10.38.1.207	40:4e:36:24:dc:52	(Unknown)
10.38.0.153	a8:5c:2c:ed:0a:df	(Unknown)
10.38.2.10	58:7f:57:34:87:07	(Unknown)
10.38.0.255	c0:bd:d1:99:cb:de	(Unknown)
10.38.2.41	d0:25:98:c2:3f:b2	(Unknown)
10.38.1.31	a0:3b:e3:03:0c:0b	(Unknown)
10.38.2.64	d0:df:9a:66:76:7d	Liteon Technology Corporation
10.38.1.133	24:f0:94:1c:e4:50	(Unknown)
10.38.2.76	78:4f:43:7f:82:f5	(Unknown)
10.38.2.53	40:33:1a:f0:a8:63	(Unknown)
10.38.1.191	f0:d7:aa:86:aa:4d	(Unknown)
10.38.2.104	f8:2f:a8:f6:a8:35	Hon Hai Precision Ind. Co.,Ltd.
10.38.1.73	2c:f0:a2:0f:9f:62	(Unknown)
10.38.2.32	f0:99:bf:54:83:5b	(Unknown)
10.38.2.111	3c:15:c2:c7:8a:b0	(Unknown)
10.38.1.71	a4:e4:b8:8b:d9:f6	(Unknown)
10.38.1.222	fc:db:b3:4a:85:fb	(Unknown)
10.38.2.93	9c:4f:da:0c:f1:b6	(Unknown)
10.38.1.163	cc:08:8d:6b:14:c0	(Unknown)
10.38.2.149	9c:b6:d0:0f:26:bf	(Unknown)
10.38.2.8	9c:f4:8e:63:54:e9	(Unknown)
10.38.2.144	d4:61:9d:5b:66:63	(Unknown)
10.38.2.23	c8:85:50:7f:da:32	(Unknown)
10.38.2.83	bc:54:36:ee:a2:80	(Unknown)
10.38.2.159	30:e3:7a:2b:ef:3f	(Unknown)
10.38.2.56	d4:61:9d:14:7e:ee	(Unknown)
10.38.2.167	2c:d0:5a:e4:6e:06	Liteon Technology Corporation
10.38.1.77	70:a2:b3:e7:e2:0a	(Unknown)
10.38.0.242	cc:08:8d:01:ec:1a	(Unknown)
10.38.2.57	80:e6:50:0a:d2:6a	(Unknown)
10.38.2.33	a0:99:9b:08:7d:09	(Unknown)
10.38.2.79	00:cd:fe:c3:b2:e0	(Unknown)
10.38.0.136	fc:c2:de:9e:c8:2e	(Unknown)
10.38.1.55	a8:66:7f:6c:7e:1f	(Unknown)
10.38.2.44	ac:37:43:a9:63:cc	(Unknown)
10.38.2.44	ac:37:43:a9:63:cc	(Unknown) (DUP: 2)
10.38.2.72	20:ab:37:3d:6d:9a	(Unknown)
10.38.2.70	54:13:79:90:2d:99	(Unknown)
10.38.2.175	dc:a4:ca:88:66:b0	(Unknown)
10.38.2.227	2c:33:7a:71:81:c5	(Unknown)
10.38.2.73	d4:63:c6:8c:d5:f6	(Unknown)
10.38.2.223	34:8a:7b:6b:02:0a	(Unknown)
10.38.2.63	98:01:a7:9d:fa:e5	(Unknown)
10.38.2.204	2c:0e:3d:3f:56:fa	(Unknown)
10.38.2.139	c0:ee:fb:26:67:1c	(Unknown)
10.38.2.88	a0:3b:e3:4c:2b:f9	(Unknown)
10.38.1.192	2c:0e:3d:32:ed:a4	(Unknown)
10.38.3.0	fc:db:b3:cf:59:e4	(Unknown)
10.38.2.176	c0:d0:12:7d:24:83	(Unknown)
10.38.2.233	5c:96:9d:02:59:92	Apple
10.38.3.50	ac:2b:6e:03:8a:e0	(Unknown)
10.38.3.36	d0:57:7b:77:bd:2a	(Unknown)
10.38.2.37	88:66:a5:93:11:e5	(Unknown)
10.38.0.135	7c:04:d0:59:37:18	(Unknown)
10.38.1.177	80:ed:2c:9f:2a:78	(Unknown)
10.38.1.180	58:40:4e:0d:fd:9e	(Unknown)
10.38.3.67	c8:3d:d4:f4:ea:bb	(Unknown)
10.38.3.73	74:e5:43:f6:6d:85	Liteon Technology Corporation
10.38.3.58	dc:a9:04:cb:c6:88	(Unknown)
10.38.1.227	d0:13:fd:12:8e:ce	(Unknown)
10.38.2.244	98:00:c6:c6:aa:ac	(Unknown)
10.38.3.42	a8:be:27:af:3a:8c	(Unknown)
10.38.12.81	54:9f:13:eb:34:47	(Unknown)
10.38.3.46	1c:91:48:e7:ae:64	(Unknown)
10.38.3.27	84:c7:ea:c2:28:33	(Unknown)
10.38.2.194	a4:08:ea:2e:d2:9a	(Unknown)
10.38.2.254	0c:d7:46:1a:4c:23	(Unknown)
10.38.3.108	9c:b6:d0:d6:73:df	(Unknown)
10.38.2.133	b0:70:2d:14:e0:0f	(Unknown)
10.38.3.121	58:40:4e:86:70:7e	(Unknown)
10.38.2.193	48:43:7c:81:15:1d	(Unknown)
10.38.3.52	80:58:f8:ba:ef:ed	(Unknown)
10.38.13.176	48:3b:38:1b:0a:56	(Unknown)
10.38.2.119	dc:ef:ca:cf:18:94	(Unknown)
10.38.3.141	18:65:90:74:5f:08	(Unknown)
10.38.3.140	b4:4b:d2:c0:ce:01	(Unknown)
10.38.3.143	ac:2b:6e:60:c5:52	(Unknown)
10.38.3.75	64:b0:a6:cb:60:ab	(Unknown)
10.38.3.139	d0:13:fd:3e:18:34	(Unknown)
10.38.2.19	2c:0e:3d:0d:fe:30	(Unknown)
10.38.3.158	e8:2a:ea:7e:f9:19	Intel Corporate
10.38.3.107	a4:5e:60:e0:47:7b	(Unknown)
10.38.3.34	6c:40:08:9f:c5:da	(Unknown)
10.38.3.94	70:70:0d:25:ae:fa	(Unknown)
10.38.3.90	58:00:e3:f8:cc:7d	(Unknown)
10.38.3.167	b4:6d:83:ed:20:5b	(Unknown)
10.38.3.146	cc:61:e5:92:12:b0	(Unknown)
10.38.3.110	40:78:6a:d0:00:42	(Unknown)
10.38.3.109	c0:cc:f8:5d:bc:cf	(Unknown)
10.38.0.166	4c:74:bf:07:77:05	(Unknown)
10.38.2.209	a4:5e:60:3e:e3:47	(Unknown)
10.38.3.185	9c:b6:d0:60:db:19	(Unknown)
10.38.3.125	60:83:34:e5:35:95	(Unknown)
10.38.3.203	20:c9:d0:c8:86:f5	Apple Inc
10.38.3.131	70:f0:87:5e:cb:5a	(Unknown)
10.38.1.1	48:bf:6b:59:01:7e	(Unknown)
10.38.3.210	9c:d2:1e:02:2f:df	(Unknown)
10.38.3.212	f0:03:8c:26:5a:83	(Unknown)
10.38.3.115	1c:91:48:4d:7a:88	(Unknown)
10.38.3.230	00:db:70:8f:76:50	(Unknown)
10.38.3.174	30:63:6b:af:15:02	(Unknown)
10.38.3.86	4c:74:bf:a6:61:f0	(Unknown)
10.38.3.209	f4:5c:89:94:52:bd	(Unknown)
10.38.3.235	a0:af:bd:a4:17:d5	(Unknown)
10.38.3.169	dc:ef:ca:71:65:5f	(Unknown)
10.38.3.136	c8:1e:e7:81:aa:7c	(Unknown)
10.38.3.216	f2:03:ff:07:dd:12	(Unknown)
10.38.2.168	24:5b:a7:1a:3f:15	(Unknown)
10.38.3.157	48:bf:6b:8a:9e:52	(Unknown)
10.38.3.47	40:4e:36:21:41:ac	(Unknown)
10.38.4.0	e4:9a:79:6d:7a:6a	(Unknown)
10.38.2.215	dc:a9:04:c2:7f:02	(Unknown)
10.38.2.13	78:d7:5f:b3:e3:26	(Unknown)
10.38.4.27	f4:0f:24:11:0e:08	(Unknown)
10.38.3.232	80:58:f8:18:b5:c3	(Unknown)
10.38.2.39	4c:66:41:2c:9e:3b	(Unknown)
10.38.3.199	ec:10:7b:2f:8d:45	(Unknown)
10.38.14.147	a0:99:9b:4e:b0:84	(Unknown)
10.38.1.17	dc:a9:04:c6:b5:da	(Unknown)
10.38.2.225	b0:72:bf:d7:96:d6	(Unknown)
10.38.4.13	90:b6:86:f1:4d:f0	(Unknown)
10.38.3.247	80:58:f8:61:c9:b8	(Unknown)
10.38.3.250	f0:f6:1c:b2:ce:f2	(Unknown)
10.38.3.234	ac:bc:32:88:83:61	(Unknown)
10.38.3.233	28:ed:6a:e6:d2:bf	(Unknown)
10.38.2.113	c8:1e:e7:81:f7:0d	(Unknown)
10.38.2.187	80:ed:2c:0e:80:73	(Unknown)
10.38.4.12	d4:61:9d:98:34:46	(Unknown)
10.38.4.42	e0:ac:cb:97:fc:a8	(Unknown)
10.38.4.80	cc:08:8d:49:65:27	(Unknown)
10.38.4.85	88:66:a5:33:e9:7f	(Unknown)
10.38.3.252	58:b0:35:83:fd:7b	Apple, Inc
10.38.3.49	50:7a:55:ab:a9:db	(Unknown)
10.38.3.236	24:e3:14:5c:1e:3d	(Unknown)
10.38.4.91	80:56:f2:b3:ea:cb	(Unknown)
10.38.4.95	3c:15:c2:b8:7f:d0	(Unknown)
10.38.4.98	a0:af:bd:a4:45:bb	(Unknown)
10.38.3.239	64:b0:a6:15:b5:54	(Unknown)
10.38.4.66	90:60:f1:52:df:2a	(Unknown)
10.38.4.51	d4:61:9d:90:7b:8d	(Unknown)
10.38.4.31	54:35:30:0d:9f:1d	(Unknown)
10.38.4.79	98:00:c6:b8:96:e2	(Unknown)
10.38.4.109	cc:b0:da:50:f5:73	(Unknown)
10.38.4.106	98:01:a7:d1:1c:ed	(Unknown)
10.38.4.116	9c:f3:87:c9:d3:8a	(Unknown)
10.38.4.75	1c:5c:f2:87:f6:91	(Unknown)
10.38.4.127	c0:ce:cd:f1:39:c5	(Unknown)
10.38.4.45	10:b1:f8:94:49:88	(Unknown)
10.38.4.89	6c:40:08:a8:70:ce	(Unknown)
10.38.4.117	bc:9f:ef:e1:e7:a2	(Unknown)
10.38.4.37	70:81:eb:c4:10:62	(Unknown)
10.38.4.110	a0:3b:e3:c7:9b:f2	(Unknown)
10.38.4.157	58:00:e3:c9:eb:cf	(Unknown)
10.38.3.182	70:14:a6:56:1e:3e	(Unknown)
10.38.4.62	a4:70:d6:cc:dc:58	(Unknown)
10.38.4.177	60:f1:89:62:ad:4d	(Unknown)
10.38.4.164	9c:f3:87:b5:37:82	(Unknown)
10.38.4.144	a0:3b:e3:46:4f:97	(Unknown)
10.38.4.149	58:40:4e:92:e8:54	(Unknown)
10.38.4.194	00:21:5c:b6:ad:1e	Intel Corporate
10.38.4.206	00:b3:62:3c:fa:dd	(Unknown)
10.38.4.181	f0:03:8c:b5:13:bb	(Unknown)
10.38.4.148	fc:db:b3:f1:90:0d	(Unknown)
10.38.4.219	90:b6:86:74:1c:62	(Unknown)
10.38.4.94	90:b6:86:e1:5c:53	(Unknown)
10.38.4.92	c4:0b:cb:d7:58:f1	(Unknown)
10.38.3.97	4c:66:41:4b:44:e2	(Unknown)
10.38.3.227	8c:8e:f2:4b:8d:78	(Unknown)
10.38.4.166	5c:51:4f:93:a9:72	Intel Corporate
10.38.2.140	60:f8:1d:f1:3b:19	(Unknown)
10.38.3.186	00:db:70:3d:b9:e5	(Unknown)
10.38.4.25	18:f6:43:73:cd:25	(Unknown)
10.38.4.213	9c:fc:01:c6:60:71	(Unknown)
10.38.4.253	2c:f0:ee:27:77:80	(Unknown)
10.38.4.207	e8:91:20:9f:22:22	(Unknown)
10.38.4.225	5c:8d:4e:c4:67:18	(Unknown)
10.38.4.167	e0:98:61:24:d6:6d	(Unknown)
10.38.4.36	90:b6:86:4a:a7:21	(Unknown)
10.38.4.200	c4:3a:be:fc:cf:95	(Unknown)
10.38.4.100	98:10:e8:99:18:ef	(Unknown)
10.38.3.29	c0:ee:fb:d5:85:4b	(Unknown)
10.38.4.242	1c:ab:a7:a6:7b:4b	Apple, Inc.
10.38.5.14	a0:cc:2b:ab:47:2b	(Unknown)
10.38.5.21	60:36:dd:83:bc:e2	Intel Corporate
10.38.5.22	1c:91:48:1a:11:ec	(Unknown)
10.38.4.156	24:f0:94:64:03:37	(Unknown)
10.38.4.57	d0:25:98:08:e4:23	(Unknown)
10.38.4.63	5c:f7:e6:99:98:d0	(Unknown)
10.38.5.29	dc:a9:04:d2:e6:8b	(Unknown)
10.38.4.7	c8:e0:eb:c5:9a:d2	Apple
10.38.5.26	18:5e:0f:c1:fc:5a	(Unknown)
10.38.4.250	9c:fc:01:ce:9d:44	(Unknown)
10.38.4.108	a0:cc:2b:84:0c:cd	(Unknown)
10.38.5.53	f4:5c:89:b7:55:61	(Unknown)
10.38.4.96	8c:f5:a3:bd:23:56	(Unknown)
10.38.5.33	60:f1:89:1c:4b:11	(Unknown)
10.38.4.223	dc:0b:34:e3:7a:94	(Unknown)
10.38.5.80	20:c9:d0:bb:4d:55	Apple Inc
10.38.5.39	d4:61:9d:29:0d:48	(Unknown)
10.38.5.58	2c:0e:3d:dd:44:b8	(Unknown)
10.38.5.86	70:77:81:1e:ef:a5	(Unknown)
10.38.5.102	f8:da:0c:2a:95:21	(Unknown)
10.38.5.27	74:8d:08:1d:6f:a7	(Unknown)
10.38.5.75	d4:63:c6:41:6b:e5	(Unknown)
10.38.4.128	b8:44:d9:b7:d8:ee	(Unknown)
10.38.5.104	f4:f5:24:35:d3:01	(Unknown)
10.38.5.112	ac:2b:6e:5b:26:f6	(Unknown)
10.38.5.2	18:65:90:70:86:39	(Unknown)
10.38.5.118	68:5d:43:9f:ee:cb	Intel Corporate
10.38.5.64	8c:85:90:15:35:e7	(Unknown)
10.38.5.12	dc:0b:34:ab:e5:3d	(Unknown)
10.38.5.85	bc:9f:ef:22:de:c2	(Unknown)
10.38.5.140	a0:88:69:91:71:89	Intel Corporate
10.38.5.100	dc:ee:06:e9:9a:83	(Unknown)
10.38.5.120	a0:cc:2b:99:0e:b2	(Unknown)
10.38.5.132	70:81:eb:5f:73:f2	(Unknown)
10.38.5.153	28:c2:dd:06:ca:23	(Unknown)
10.38.3.23	20:ab:37:4f:08:c7	(Unknown)
10.38.5.160	70:48:0f:6d:25:09	(Unknown)
10.38.5.134	78:4b:87:d1:f5:be	(Unknown)
10.38.5.78	70:f0:87:6b:e0:2c	(Unknown)
10.38.4.143	5c:95:ae:61:f7:f5	Apple Inc
10.38.4.35	00:db:70:b9:e9:e1	(Unknown)
10.38.5.91	34:a3:95:ce:44:00	(Unknown)
10.38.3.241	64:b0:a6:e2:ab:17	(Unknown)
10.38.4.33	a0:cc:2b:c5:6e:52	(Unknown)
10.38.5.186	88:53:2e:93:b4:80	Intel Corporate
10.38.5.83	a0:99:9b:10:8f:bd	(Unknown)
10.38.4.124	8c:85:90:d9:e6:d2	(Unknown)
10.38.4.182	18:65:90:62:58:79	(Unknown)
10.38.4.150	48:e9:f1:b0:c9:1f	(Unknown)
10.38.5.147	00:db:70:c3:71:47	(Unknown)
10.38.5.194	3c:95:09:c2:fd:0f	(Unknown)
10.38.5.38	00:56:cd:9c:c4:21	(Unknown)
10.38.5.139	00:56:cd:68:01:2a	(Unknown)
10.38.5.212	5c:96:9d:8d:15:75	Apple
10.38.5.107	8c:f5:a3:5f:8c:45	(Unknown)
10.38.5.199	f0:d7:aa:79:5a:68	(Unknown)
10.38.5.158	a8:88:08:0c:5d:b3	Apple
10.38.5.122	74:e5:0b:c9:17:e2	Intel Corporate
10.38.5.221	2c:d0:5a:61:d6:33	Liteon Technology Corporation
10.38.5.214	70:70:0d:c5:55:15	(Unknown)
10.38.5.200	10:41:7f:85:3e:3d	(Unknown)
10.38.5.63	c4:8e:8f:f7:53:dd	(Unknown)
10.38.5.247	48:d7:05:bd:00:c7	(Unknown)
10.38.5.137	34:36:3b:d0:c7:fc	(Unknown)
10.38.3.189	bc:9f:ef:af:51:e8	(Unknown)
10.38.4.216	00:ae:fa:59:8b:f4	(Unknown)
10.38.6.8	14:ab:c5:c8:74:18	(Unknown)
10.38.5.185	48:a1:95:be:df:79	(Unknown)
10.38.5.255	f4:31:c3:70:df:dd	(Unknown)
10.38.6.16	5c:e0:c5:65:12:60	(Unknown)
10.38.5.109	4c:66:41:10:9d:9e	(Unknown)
10.38.6.10	98:01:a7:a1:32:85	(Unknown)
10.38.5.252	ac:37:43:a4:16:4a	(Unknown)
10.38.5.10	bc:9f:ef:14:79:03	(Unknown)
10.38.5.238	88:66:a5:9d:18:b8	(Unknown)
10.38.6.35	f0:79:60:0d:92:4c	(Unknown)
10.38.5.28	c0:cc:f8:2e:2a:4a	(Unknown)
10.38.4.118	2c:0e:3d:a6:6b:3a	(Unknown)
10.38.6.11	98:9e:63:77:62:f4	(Unknown)
10.38.6.32	cc:08:8d:a0:c3:68	(Unknown)
10.38.4.186	84:a1:34:01:54:04	(Unknown)
10.38.5.156	a4:5e:60:e8:3b:dd	(Unknown)
10.38.6.5	4c:74:bf:1e:2b:16	(Unknown)
10.38.5.233	8c:f5:a3:6d:ef:3a	(Unknown)
10.38.6.68	80:19:34:71:33:0b	(Unknown)
10.38.6.74	90:c7:d8:af:65:d5	(Unknown)
10.38.6.87	c0:33:5e:16:a8:e5	(Unknown)
10.38.4.241	a4:08:ea:04:c7:81	(Unknown)
10.38.6.100	50:7a:55:4b:c5:f1	(Unknown)
10.38.5.48	7c:50:49:1c:cd:4c	(Unknown)
10.38.6.113	74:df:bf:9e:7f:d9	(Unknown)
10.38.3.164	d0:25:98:06:e2:a7	(Unknown)
10.38.6.79	c0:ee:fb:d3:07:8d	(Unknown)
10.38.6.124	00:c2:c6:39:fe:b3	Intel Corporate
10.38.5.155	c4:9a:02:82:1d:95	(Unknown)
10.38.6.97	94:65:2d:28:a9:2d	(Unknown)
10.38.1.255	24:f0:94:00:26:3e	(Unknown)
10.38.6.140	60:6c:66:28:7a:9e	Intel Corporate
10.38.5.9	bc:a9:20:b0:b3:70	(Unknown)
10.38.4.3	7c:01:91:06:99:f1	(Unknown)
10.38.6.131	10:f0:05:45:3d:c3	(Unknown)
10.38.6.127	54:4e:90:e0:18:32	(Unknown)
10.38.6.52	28:a0:2b:48:42:51	(Unknown)
10.38.6.43	d8:bb:2c:47:57:2b	(Unknown)
10.38.6.94	60:f1:89:e3:90:51	(Unknown)
10.38.6.71	54:4e:90:0d:c8:d7	(Unknown)
10.38.6.104	c8:21:58:9e:60:ab	(Unknown)
10.38.6.153	c0:ee:fb:3c:51:d4	(Unknown)
10.38.6.148	e0:ac:cb:cf:d3:03	(Unknown)
10.38.6.159	00:b3:62:e8:da:9f	(Unknown)
10.38.6.83	48:3b:38:68:e7:a8	(Unknown)
10.38.6.151	dc:a9:04:c5:a1:65	(Unknown)
10.38.6.45	9c:fc:01:53:fc:72	(Unknown)
10.38.6.146	d0:c5:f3:b7:95:3e	(Unknown)
10.38.6.193	b8:81:98:bb:dc:f8	(Unknown)
10.38.6.51	78:d7:5f:de:23:c1	(Unknown)
10.38.5.23	b0:48:1a:34:b5:0f	(Unknown)
10.38.6.160	44:c3:46:b8:74:4f	(Unknown)
10.38.6.117	5c:0a:5b:1c:17:9c	SAMSUNG ELECTRO-MECHANICS CO., LTD.
10.38.6.190	e0:98:61:c0:9c:99	(Unknown)
10.38.6.175	c8:1e:e7:7a:3e:a5	(Unknown)
10.38.6.197	70:77:81:59:c2:17	(Unknown)
10.38.6.201	4c:66:41:70:02:51	(Unknown)
10.38.6.236	a4:5e:60:d9:3e:45	(Unknown)
10.38.5.114	f8:62:14:44:be:96	(Unknown)
10.38.6.242	28:37:37:1e:58:82	Apple, Inc.
10.38.6.235	58:f1:02:cb:25:e1	(Unknown)
10.38.6.166	28:5a:eb:c8:a5:24	(Unknown)
10.38.6.149	60:f8:1d:ce:d5:c6	(Unknown)
10.38.6.121	dc:ef:ca:71:83:53	(Unknown)
10.38.6.234	90:b6:86:2d:f5:70	(Unknown)
10.38.3.221	c0:cc:f8:4a:33:41	(Unknown)
10.38.7.5	ac:d1:b8:a7:f5:c3	(Unknown)
10.38.6.152	40:4d:7f:cb:2e:8b	(Unknown)
10.38.7.21	ac:d1:b8:dd:07:6d	(Unknown)
10.38.7.26	5c:70:a3:20:1d:28	(Unknown)
10.38.6.207	a0:99:9b:1b:86:5b	(Unknown)
10.38.5.249	48:d7:05:76:d7:73	(Unknown)
10.38.3.202	64:b0:a6:bb:df:8c	(Unknown)
10.38.6.252	dc:a4:ca:2c:3e:08	(Unknown)
10.38.6.240	f4:0f:24:85:0b:a3	(Unknown)
10.38.7.6	dc:ef:ca:f7:0e:d0	(Unknown)
10.38.7.49	b8:81:98:c0:9b:12	(Unknown)
10.38.6.88	4c:32:75:ae:26:31	(Unknown)
10.38.7.14	78:88:6d:4f:67:5f	(Unknown)
10.38.6.213	c4:b3:01:c2:55:7b	(Unknown)
10.38.7.52	38:71:de:ef:7a:f4	(Unknown)
10.38.7.15	3c:15:c2:d8:df:ba	(Unknown)
10.38.7.47	b0:48:1a:be:09:b3	(Unknown)
10.38.7.46	5c:70:a3:05:3f:0d	(Unknown)
10.38.7.81	64:b0:a6:ca:b8:5e	(Unknown)
10.38.7.75	20:3c:ae:8e:c3:cd	(Unknown)
10.38.6.155	20:3c:ae:a0:5b:59	(Unknown)
10.38.5.208	d8:50:e6:97:51:a0	(Unknown)
10.38.7.78	4c:57:ca:54:7e:6f	(Unknown)
10.38.5.240	28:ed:6a:e9:68:92	(Unknown)
10.38.5.210	74:d0:2b:e1:cd:c7	ASUSTek COMPUTER INC.
10.38.7.76	ac:37:43:4b:ef:58	(Unknown)
10.38.6.164	a8:66:7f:b4:df:30	(Unknown)
10.38.4.30	70:3e:ac:67:67:aa	(Unknown)
10.38.5.167	b0:70:2d:5d:75:35	(Unknown)
10.38.7.98	20:ab:37:28:a2:98	(Unknown)
10.38.7.100	7c:04:d0:38:b6:74	(Unknown)
10.38.7.59	1c:56:fe:15:39:08	(Unknown)
10.38.7.62	ec:1f:72:45:0f:81	(Unknown)
10.38.6.18	20:ab:37:04:e5:85	(Unknown)
10.38.6.237	a4:5e:60:d8:2d:5f	(Unknown)
10.38.7.9	ac:ed:5c:b5:7e:6c	(Unknown)
10.38.6.145	60:f1:89:e5:0c:c3	(Unknown)
10.38.1.124	a4:b8:05:d0:27:a8	(Unknown)
10.38.7.116	bc:9f:ef:8e:2a:7e	(Unknown)
10.38.6.191	d0:13:fd:4e:12:fa	(Unknown)
10.38.7.3	34:f3:9a:35:e7:79	(Unknown)
10.38.5.173	f4:37:b7:d0:78:50	(Unknown)
10.38.6.132	00:cd:fe:c8:65:8e	(Unknown)
10.38.7.133	fc:db:b3:fb:8c:37	(Unknown)
